customer_id,segment_name,R,F,M,RFM_score,recency_days,frequency_180d,monetary_180d,return_rate_180d,ticket_count_90d,sessions_30d,avg_discount_pct_180d,churn_next_60d
CUST00037,Discount-Sensitive,2,2,1,5,102,1,435.83,0.0,0,5,0.43,0
CUST00038,Loyal Customers,3,5,4,12,51,3,1955.61,0.0,1,5,0.317,0
CUST00039,Loyal Customers,5,4,3,12,15,2,1173.55,0.0,0,6,0.21,0
CUST00040,Discount-Sensitive,1,2,2,5,154,1,634.73,0.0,0,1,0.38,1
CUST00041,Discount-Sensitive,3,2,1,6,54,1,366.99,0.0,0,5,0.44,1
CUST00042,High-Value but Unhappy,2,5,5,12,87,5,4306.0,0.0,2,3,0.2,0
CUST00043,Discount-Sensitive,4,2,1,7,24,1,363.01,0.0,0,3,0.43,0
CUST00044,Dormant Customers,3,2,3,8,72,1,899.51,0.0,0,6,0.29,0
CUST00045,Discount-Sensitive,2,2,1,5,96,1,413.75,0.0,0,6,0.33,1
CUST00046,Dormant Customers,2,2,2,6,127,1,489.87,0.0,0,7,0.13,1
CUST00047,Dormant Customers,1,1,1,3,204,0,0.0,0.0,0,2,0.0,1
CUST00048,Loyal Customers,3,5,5,13,61,4,2450.45,0.25,0,12,0.312,0
CUST00049,Discount-Sensitive,5,2,1,8,8,1,380.83,0.0,0,4,0.47,0
CUST00050,Champions,5,4,5,14,0,2,2026.54,0.5,0,3,0.3,0
CUST00051,Dormant Customers,1,1,1,3,210,0,0.0,0.0,0,6,0.0,1
CUST00052,Loyal Customers,3,4,4,11,55,2,1820.53,0.0,0,7,0.19,1
CUST00053,Champions,4,5,5,14,25,3,2063.87,0.0,1,9,0.457,0
CUST00054,Dormant Customers,5,2,2,9,6,1,489.85,0.0,0,3,0.25,0
CUST00055,Champions,5,5,4,14,3,3,1308.35,0.0,0,6,0.247,0
CUST00056,Champions,5,5,5,15,9,3,3150.69,0.0,1,3,0.287,0
CUST00057,Dormant Customers,2,2,4,8,136,1,1713.34,0.0,0,7,0.14,1
CUST00058,Dormant Customers,4,2,2,8,42,1,644.61,0.0,0,2,0.21,0
CUST00059,Champions,5,4,4,13,2,2,1447.55,0.0,0,3,0.32,0
CUST00060,Discount-Sensitive,2,2,1,5,145,1,293.22,0.0,0,5,0.36,1
CUST00061,Champions,5,5,4,14,14,3,1632.4,0.0,1,4,0.407,0
CUST00062,Champions,4,5,5,14,21,3,2295.98,0.0,0,9,0.247,0
CUST00063,Dormant Customers,1,1,1,3,216,0,0.0,0.0,0,0,0.0,1
CUST00064,Discount-Sensitive,5,2,2,9,2,1,654.93,0.0,0,8,0.43,0
CUST00065,Dormant Customers,5,2,4,11,6,1,1911.67,0.0,0,3,0.0,0
CUST00066,Dormant Customers,1,1,1,3,320,0,0.0,0.0,0,11,0.0,1
CUST00067,Loyal Customers,3,4,3,10,63,2,1246.44,0.5,1,1,0.2,1
CUST00068,Dormant Customers,1,1,1,3,346,0,0.0,0.0,0,5,0.0,1
CUST00069,Loyal Customers,4,4,3,11,29,2,874.47,0.0,0,9,0.225,1
CUST00070,Discount-Sensitive,4,2,2,8,38,1,542.98,0.0,0,1,0.34,1
CUST00071,Dormant Customers,4,2,5,11,32,1,2062.5,0.0,1,1,0.08,1
CUST00072,At-Risk Customers,2,4,4,10,90,2,1697.84,0.0,0,7,0.21,1
CUST00073,Loyal Customers,5,4,3,12,8,2,1150.72,0.0,0,7,0.235,0
CUST00074,Dormant Customers,5,2,3,10,7,1,824.34,1.0,1,14,0.23,0
CUST00075,Champions,5,5,4,14,3,3,1287.45,0.0,0,10,0.297,0
CUST00076,Champions,5,4,4,13,20,2,1385.27,0.0,0,17,0.22,0
CUST00077,Discount-Sensitive,2,2,1,5,109,1,394.32,0.0,0,0,0.36,1
CUST00078,Discount-Sensitive,2,2,3,7,139,1,894.45,1.0,0,5,0.42,1
CUST00079,Dormant Customers,1,1,1,3,191,0,0.0,0.0,0,2,0.0,1
CUST00080,Dormant Customers,3,2,4,9,50,1,1461.68,0.0,0,11,0.11,0
CUST00081,Champions,5,5,5,15,19,5,3417.32,0.0,0,12,0.202,0
CUST00082,Dormant Customers,1,1,1,3,254,0,0.0,0.0,0,7,0.0,1
CUST00083,At-Risk Customers,2,4,3,9,89,2,806.87,0.5,1,9,0.335,1
CUST00084,Dormant Customers,1,2,4,7,167,1,1273.18,0.0,0,11,0.12,1
CUST00085,Dormant Customers,5,2,4,11,14,1,1257.8,0.0,0,8,0.2,1
CUST00086,Champions,4,5,4,13,21,4,1741.15,0.0,1,7,0.268,0
CUST00087,Discount-Sensitive,4,2,3,9,44,1,933.58,0.0,0,1,0.38,0
CUST00088,At-Risk Customers,2,4,3,9,98,2,1169.14,0.0,0,9,0.43,1
CUST00089,Discount-Sensitive,1,2,4,7,165,1,1513.5,0.0,0,12,0.4,1
CUST00090,Loyal Customers,3,5,4,12,80,4,1966.31,0.0,0,5,0.375,0
CUST00091,Discount-Sensitive,2,2,1,5,90,1,311.34,0.0,0,9,0.36,0
CUST00092,Dormant Customers,4,2,1,7,21,1,430.85,0.0,0,1,0.26,0
CUST00093,Dormant Customers,3,2,2,7,85,1,759.64,0.0,0,16,0.12,1
CUST00094,Dormant Customers,1,1,1,3,183,0,0.0,0.0,0,6,0.0,1
CUST00095,Discount-Sensitive,3,2,1,6,65,1,372.65,0.0,1,10,0.41,1
CUST00096,Loyal Customers,3,4,4,11,61,2,1414.75,0.5,0,12,0.325,0
CUST00097,Champions,5,5,5,15,1,3,2946.09,0.0,0,0,0.41,0
CUST00098,Dormant Customers,1,1,1,3,184,0,0.0,0.0,0,8,0.0,1
CUST00099,At-Risk Customers,2,4,4,10,144,2,1471.51,0.0,0,4,0.105,0
CUST00100,Dormant Customers,3,2,1,6,70,1,372.37,0.0,0,1,0.29,0
CUST00101,At-Risk Customers,2,4,3,9,108,2,1240.21,0.0,0,2,0.255,1
CUST00102,Dormant Customers,3,2,2,7,83,1,732.65,0.0,0,2,0.16,0
CUST00103,Dormant Customers,4,2,4,10,21,1,1469.96,0.0,0,6,0.08,0
CUST00104,Discount-Sensitive,2,2,3,7,93,1,955.63,0.0,0,3,0.31,1
CUST00105,Dormant Customers,4,2,5,11,46,1,2052.43,0.0,0,1,0.18,0
CUST00106,Dormant Customers,3,2,1,6,61,1,436.15,0.0,0,5,0.24,1
CUST00107,Champions,5,4,4,13,12,2,1658.13,0.0,0,2,0.125,0
CUST00108,Dormant Customers,4,2,3,9,44,1,1074.5,1.0,1,5,0.22,1
CUST00109,At-Risk Customers,2,4,4,10,92,2,1622.28,0.0,0,1,0.255,0
CUST00110,High-Value but Unhappy,4,5,5,14,35,3,2424.8,0.0,2,4,0.233,1
CUST00111,Dormant Customers,1,2,3,6,178,1,1135.09,0.0,0,3,0.23,1
CUST00112,Champions,5,5,5,15,0,4,2225.98,0.0,0,4,0.3,0
CUST00113,Champions,4,4,4,12,28,2,1601.31,0.0,0,17,0.385,0
CUST00114,Dormant Customers,1,1,1,3,239,0,0.0,0.0,0,3,0.0,1
CUST00115,Dormant Customers,1,2,2,5,159,1,596.54,0.0,0,12,0.14,1
CUST00116,Dormant Customers,2,2,2,6,143,1,452.08,0.0,0,10,0.27,1
CUST00117,At-Risk Customers,2,4,4,10,123,2,1268.88,0.0,0,2,0.28,1
CUST00118,Dormant Customers,4,2,2,8,27,1,689.56,0.0,0,2,0.18,0
CUST00119,Dormant Customers,3,2,5,10,69,1,2019.98,0.0,1,12,0.25,0
CUST00120,Dormant Customers,4,2,1,7,26,1,261.95,0.0,0,6,0.27,0
CUST00121,Champions,4,4,5,13,27,2,2496.03,0.0,0,5,0.19,0
CUST00122,At-Risk Customers,2,4,5,11,106,2,2048.93,0.0,0,10,0.36,1
CUST00123,At-Risk Customers,2,5,5,12,102,4,2117.52,0.0,0,2,0.335,0
CUST00124,Dormant Customers,1,1,1,3,194,0,0.0,0.0,0,5,0.0,1
CUST00125,Champions,5,4,4,13,8,2,1698.4,0.0,0,0,0.395,0
CUST00126,Discount-Sensitive,3,2,3,8,57,1,919.95,0.0,0,5,0.6,1
CUST00127,Loyal Customers,4,4,2,10,24,2,729.55,0.0,0,3,0.295,0
CUST00128,Champions,5,4,4,13,19,2,1716.68,0.0,0,15,0.42,0
CUST00129,Loyal Customers,3,5,5,13,83,3,3369.08,0.333,1,7,0.313,0
CUST00130,Discount-Sensitive,2,2,4,8,88,1,1272.47,0.0,0,9,0.48,0
CUST00131,Dormant Customers,3,2,5,10,67,1,2157.15,0.0,0,4,0.17,1
CUST00132,Dormant Customers,2,2,4,8,117,1,1621.76,0.0,0,1,0.18,1
CUST00133,Loyal Customers,3,5,5,13,54,6,4776.26,0.0,0,5,0.365,0
CUST00134,Champions,4,4,4,12,35,2,1527.11,0.5,0,11,0.3,0
CUST00135,Dormant Customers,1,1,1,3,333,0,0.0,0.0,0,3,0.0,1
CUST00136,Discount-Sensitive,3,2,2,7,71,1,514.9,0.0,0,7,0.3,1
CUST00137,At-Risk Customers,1,4,3,8,177,2,1035.87,0.0,0,4,0.315,1
CUST00138,Discount-Sensitive,3,2,3,8,61,1,905.11,0.0,0,5,0.46,0
CUST00139,High-Value but Unhappy,4,4,4,12,28,2,1715.4,0.0,2,5,0.295,0
CUST00140,Champions,5,5,5,15,6,3,3416.05,0.0,1,14,0.247,0
CUST00141,Dormant Customers,4,2,2,8,28,1,647.85,0.0,0,4,0.23,0
CUST00142,Discount-Sensitive,1,2,1,4,169,1,369.26,0.0,0,2,0.37,1
CUST00143,Champions,4,5,5,14,32,3,4028.8,0.0,0,5,0.14,0
CUST00144,At-Risk Customers,2,4,3,9,86,2,928.58,0.0,1,8,0.295,0
CUST00145,Dormant Customers,4,2,2,8,30,1,502.35,0.0,0,0,0.11,1
CUST00146,Discount-Sensitive,2,2,3,7,108,1,986.21,0.0,0,4,0.31,0
CUST00147,Loyal Customers,3,5,5,13,84,3,2809.32,0.0,0,1,0.183,0
CUST00148,Champions,5,5,5,15,4,3,1990.51,0.0,0,5,0.25,0
CUST00149,Dormant Customers,5,2,3,10,8,1,787.94,0.0,0,8,0.2,0
CUST00150,Loyal Customers,4,4,3,11,45,2,1008.65,0.0,0,6,0.375,0
CUST00151,Loyal Customers,3,5,5,13,62,3,2844.17,0.0,0,7,0.173,0
CUST00152,High-Value but Unhappy,4,5,5,14,46,3,2730.26,0.0,3,19,0.367,0
CUST00153,Discount-Sensitive,5,2,3,10,3,1,977.12,0.0,0,6,0.37,0
CUST00154,Champions,5,5,5,15,10,4,3935.38,0.0,0,8,0.24,0
CUST00155,Champions,5,5,5,15,2,3,2024.8,0.0,0,6,0.397,0
CUST00156,Champions,4,4,5,13,34,2,4241.75,0.5,1,14,0.145,0
CUST00157,Dormant Customers,5,2,1,8,0,1,376.83,0.0,0,3,0.22,1
CUST00158,Dormant Customers,1,2,3,6,155,1,812.34,0.0,0,8,0.25,1
CUST00159,Dormant Customers,1,1,1,3,474,0,0.0,0.0,0,0,0.0,1
CUST00160,Dormant Customers,1,2,1,4,177,1,433.18,0.0,0,4,0.23,1
CUST00161,Champions,5,5,4,14,20,3,1738.05,0.0,0,7,0.293,0
CUST00162,At-Risk Customers,2,4,3,9,91,2,1194.59,0.0,0,2,0.29,1
CUST00163,Discount-Sensitive,3,2,1,6,70,1,275.41,0.0,0,3,0.37,0
CUST00164,Dormant Customers,1,1,1,3,222,0,0.0,0.0,0,1,0.0,1
CUST00165,At-Risk Customers,2,5,4,11,103,3,1825.77,0.0,0,2,0.31,0
CUST00166,Discount-Sensitive,5,2,4,11,15,1,1269.41,0.0,1,1,0.37,0
CUST00167,Dormant Customers,1,1,1,3,219,0,0.0,0.0,0,0,0.0,1
CUST00168,Loyal Customers,3,4,5,12,85,2,2194.93,0.0,0,2,0.01,0
CUST00169,Dormant Customers,1,1,1,3,222,0,0.0,0.0,0,1,0.0,1
CUST00170,Champions,5,4,4,13,9,2,1708.22,0.0,0,5,0.22,0
CUST00171,Discount-Sensitive,5,2,3,10,12,1,1077.78,0.0,0,9,0.38,0
CUST00172,Discount-Sensitive,5,2,4,11,8,1,1366.0,0.0,1,5,0.39,0
CUST00173,Dormant Customers,3,2,1,6,79,1,225.12,0.0,0,10,0.27,0
CUST00174,Discount-Sensitive,2,2,1,5,86,1,168.97,0.0,0,14,0.42,0
CUST00175,Loyal Customers,3,4,4,11,59,2,1378.77,0.0,0,5,0.21,1
CUST00176,Champions,4,5,5,14,37,3,3830.31,0.0,0,12,0.343,0
CUST00177,Discount-Sensitive,3,2,1,6,82,1,255.04,0.0,0,12,0.42,0
CUST00178,High-Value but Unhappy,5,4,4,13,5,2,1583.88,1.0,2,10,0.165,0
CUST00179,High-Value but Unhappy,4,5,4,13,38,3,1585.62,0.0,2,11,0.443,0
CUST00180,At-Risk Customers,2,4,4,10,96,2,1570.85,0.5,0,9,0.26,1
CUST00181,Dormant Customers,5,2,3,10,6,1,1107.73,0.0,0,7,0.0,0
CUST00182,Discount-Sensitive,4,2,1,7,31,1,305.3,0.0,0,12,0.31,0
CUST00183,Dormant Customers,1,2,4,7,152,1,1689.98,0.0,0,1,0.18,1
CUST00184,Champions,5,5,5,15,14,3,2456.91,0.0,0,6,0.287,1
CUST00185,At-Risk Customers,2,4,3,9,114,2,866.52,0.0,0,11,0.315,0
CUST00186,Discount-Sensitive,4,2,2,8,41,1,714.65,0.0,1,2,0.33,0
CUST00187,Discount-Sensitive,1,2,2,5,149,1,491.11,0.0,0,0,0.5,0
CUST00188,Champions,4,4,4,12,29,2,1880.31,0.0,1,11,0.23,1
CUST00189,Discount-Sensitive,2,2,2,6,140,1,574.39,0.0,0,10,0.32,0
CUST00190,Dormant Customers,5,2,2,9,6,1,482.88,0.0,1,6,0.13,0
CUST00191,Discount-Sensitive,4,2,1,7,28,1,149.0,0.0,0,6,0.34,0
CUST00192,Loyal Customers,3,5,5,13,55,3,2263.95,0.0,0,8,0.28,0
CUST00193,Dormant Customers,1,2,1,4,157,1,424.74,0.0,0,3,0.21,1
CUST00194,Loyal Customers,3,5,5,13,80,3,2967.67,0.333,1,13,0.407,0
CUST00195,Dormant Customers,4,2,2,8,23,1,654.27,0.0,1,5,0.17,0
CUST00196,Champions,4,4,4,12,24,2,1272.38,0.0,1,1,0.28,1
CUST00197,Champions,5,4,5,14,15,2,2989.16,0.0,1,11,0.305,0
CUST00198,Champions,4,5,5,14,37,4,4324.83,0.0,0,1,0.273,0
CUST00199,Champions,5,5,5,15,6,4,3273.56,0.0,1,3,0.227,0
CUST00200,Champions,5,5,5,15,15,3,3726.66,0.0,0,7,0.123,0
CUST00201,Dormant Customers,2,2,2,6,93,1,598.21,0.0,1,3,0.14,1
CUST00202,Discount-Sensitive,2,2,3,7,141,1,1220.26,0.0,0,9,0.33,0
CUST00203,At-Risk Customers,2,4,2,8,114,2,743.35,0.0,0,6,0.39,1
CUST00204,Dormant Customers,4,2,2,8,42,1,519.21,0.0,0,17,0.28,0
CUST00205,Champions,4,5,4,13,30,3,1548.05,0.0,0,13,0.25,0
CUST00206,At-Risk Customers,2,4,3,9,118,2,831.29,0.0,0,7,0.375,1
CUST00207,Discount-Sensitive,5,2,1,8,18,1,193.1,0.0,0,11,0.62,1
CUST00208,At-Risk Customers,2,5,5,12,91,4,3282.3,0.0,1,2,0.18,1
CUST00209,Dormant Customers,1,1,1,3,279,0,0.0,0.0,0,3,0.0,1
CUST00210,Discount-Sensitive,2,2,1,5,128,1,409.67,0.0,0,3,0.41,1
CUST00211,At-Risk Customers,2,4,5,11,90,2,3032.55,0.0,0,4,0.38,0
CUST00212,Dormant Customers,1,1,1,3,204,0,0.0,0.0,0,3,0.0,1
CUST00213,Dormant Customers,2,2,4,8,86,1,1266.34,1.0,1,2,0.09,1
CUST00214,Dormant Customers,3,2,4,9,64,1,1427.16,0.0,0,3,0.22,1
CUST00215,Dormant Customers,4,2,2,8,34,1,646.51,0.0,0,8,0.01,1
CUST00216,Dormant Customers,3,2,4,9,48,1,1349.42,1.0,1,7,0.27,1
CUST00217,Loyal Customers,3,4,3,10,79,2,861.18,0.0,0,2,0.36,1
CUST00218,Dormant Customers,4,2,2,8,23,1,713.95,0.0,0,1,0.11,0
CUST00219,At-Risk Customers,1,4,3,8,154,2,1225.24,0.0,0,3,0.47,1
CUST00220,Loyal Customers,4,4,2,10,25,2,745.67,0.0,1,14,0.19,0
CUST00221,Loyal Customers,5,4,3,12,7,2,781.03,0.0,0,16,0.345,0
CUST00222,Dormant Customers,1,1,1,3,186,0,0.0,0.0,0,1,0.0,1
CUST00223,Discount-Sensitive,2,2,2,6,103,1,757.58,0.0,0,1,0.53,1
CUST00224,Discount-Sensitive,2,2,2,6,89,1,747.2,0.0,0,1,0.4,0
CUST00225,At-Risk Customers,2,4,5,11,88,2,2563.85,0.0,0,3,0.335,1
CUST00226,Loyal Customers,3,5,5,13,54,3,2345.42,0.333,1,6,0.157,0
CUST00227,Discount-Sensitive,1,2,3,6,153,1,1070.42,0.0,0,0,0.37,1
CUST00228,Loyal Customers,3,5,4,12,82,3,1343.2,0.0,0,6,0.33,1
CUST00229,Dormant Customers,2,2,2,6,92,1,558.95,0.0,0,8,0.17,1
CUST00230,Champions,4,5,5,14,37,6,6235.96,0.0,0,17,0.218,0
CUST00231,Dormant Customers,4,2,1,7,23,1,397.92,0.0,0,6,0.29,0
CUST00232,Discount-Sensitive,3,2,3,8,55,1,786.26,0.0,0,2,0.33,0
CUST00233,Dormant Customers,1,1,1,3,361,0,0.0,0.0,0,5,0.0,1
CUST00234,Champions,5,4,4,13,17,2,1421.1,0.0,0,6,0.135,0
CUST00235,Discount-Sensitive,2,2,2,6,125,1,556.26,0.0,0,2,0.34,0
CUST00236,Discount-Sensitive,3,2,3,8,62,1,782.89,0.0,1,8,0.37,0
CUST00237,Champions,5,5,5,15,15,4,3607.29,0.0,0,8,0.253,0
CUST00238,Discount-Sensitive,3,2,2,7,78,1,643.9,0.0,1,1,0.33,0
CUST00239,Dormant Customers,1,1,1,3,320,0,0.0,0.0,0,4,0.0,1
CUST00240,Loyal Customers,3,4,5,12,56,2,2277.31,0.0,1,4,0.18,0
CUST00241,Champions,5,4,5,14,6,2,2710.93,0.0,0,12,0.37,0
CUST00242,Loyal Customers,3,5,5,13,82,3,2195.42,0.0,0,11,0.317,0
CUST00243,Discount-Sensitive,3,2,1,6,69,1,444.6,1.0,1,3,0.43,1
CUST00244,At-Risk Customers,2,4,5,11,144,2,2449.86,0.0,0,1,0.225,1
CUST00245,Loyal Customers,3,4,3,10,73,2,1245.78,0.0,0,6,0.36,0
CUST00246,Loyal Customers,3,4,3,10,52,2,852.1,0.0,1,6,0.24,0
CUST00247,Loyal Customers,3,4,3,10,57,2,937.32,0.0,0,5,0.5,1
CUST00248,Loyal Customers,3,5,3,11,71,3,1182.12,0.0,0,2,0.31,0
CUST00249,Discount-Sensitive,1,2,1,4,162,1,244.33,0.0,0,5,0.38,1
CUST00250,Discount-Sensitive,4,2,3,9,35,1,837.19,0.0,0,6,0.3,0
CUST00251,Discount-Sensitive,4,2,3,9,41,1,966.73,1.0,1,14,0.37,1
CUST00252,Dormant Customers,1,1,1,3,190,0,0.0,0.0,0,4,0.0,1
CUST00253,Dormant Customers,1,1,1,3,191,0,0.0,0.0,0,3,0.0,1
CUST00254,Dormant Customers,1,1,1,3,183,0,0.0,0.0,0,4,0.0,1
CUST00255,Champions,4,5,5,14,22,4,2792.14,0.25,1,10,0.2,0
CUST00256,Dormant Customers,1,1,1,3,181,0,0.0,0.0,0,1,0.0,1
CUST00257,Loyal Customers,3,4,3,10,55,2,1042.47,0.0,0,7,0.3,0
CUST00258,Champions,4,5,5,14,42,3,2284.5,0.0,0,7,0.33,0
CUST00259,Dormant Customers,1,1,1,3,192,0,0.0,0.0,0,0,0.0,1
CUST00260,Champions,5,4,4,13,2,2,1820.81,0.0,0,7,0.395,0
CUST00261,Discount-Sensitive,3,2,1,6,51,1,350.44,0.0,0,0,0.44,0
CUST00262,Champions,5,4,4,13,9,2,1318.44,0.0,0,5,0.12,0
CUST00263,Champions,4,5,4,13,25,3,1618.39,0.667,2,15,0.373,0
CUST00264,Loyal Customers,4,4,2,10,31,2,671.1,0.0,1,7,0.31,1
CUST00265,Discount-Sensitive,3,2,2,7,77,1,510.24,0.0,0,7,0.38,0
CUST00266,At-Risk Customers,1,4,5,10,158,2,2193.55,0.5,0,1,0.295,1
CUST00267,Discount-Sensitive,4,2,1,7,29,1,441.97,0.0,1,8,0.37,1
CUST00268,Champions,5,4,4,13,9,2,1517.09,0.0,1,6,0.415,0
CUST00269,Champions,4,5,5,14,30,3,2563.93,0.0,0,11,0.33,0
CUST00270,Loyal Customers,3,4,3,10,75,2,968.72,0.0,0,8,0.24,0
CUST00271,Champions,4,4,4,12,32,2,1421.17,0.0,0,1,0.19,0
CUST00272,Champions,5,5,5,15,12,5,3882.03,0.0,0,7,0.208,0
CUST00273,Champions,5,5,5,15,13,5,4433.41,0.0,0,7,0.194,0
CUST00274,Discount-Sensitive,3,2,2,7,71,1,695.0,0.0,0,1,0.36,0
CUST00275,Dormant Customers,1,1,1,3,241,0,0.0,0.0,0,5,0.0,1
CUST00276,Champions,4,4,5,13,47,2,3495.3,0.0,0,9,0.215,0
CUST00277,Dormant Customers,5,2,1,8,2,1,304.61,0.0,0,2,0.23,0
CUST00278,Dormant Customers,3,2,1,6,69,1,339.56,0.0,1,7,0.27,1
CUST00279,Champions,5,5,5,15,12,3,2035.77,0.0,0,9,0.323,0
CUST00280,Champions,5,4,4,13,10,2,1858.49,0.0,0,6,0.2,0
CUST00281,Loyal Customers,4,4,3,11,35,2,1161.06,0.0,0,3,0.335,1
CUST00282,Dormant Customers,1,1,1,3,296,0,0.0,0.0,0,1,0.0,1
CUST00283,Champions,5,5,5,15,18,3,2546.58,0.0,1,8,0.323,0
CUST00284,Dormant Customers,1,1,1,3,291,0,0.0,0.0,0,1,0.0,1
CUST00285,Loyal Customers,5,4,3,12,13,2,1070.21,0.0,0,10,0.38,0
CUST00286,Dormant Customers,1,1,1,3,369,0,0.0,0.0,0,1,0.0,1
CUST00287,Loyal Customers,3,4,5,12,69,2,2536.41,0.0,0,8,0.185,0
CUST00288,At-Risk Customers,2,4,3,9,110,2,1096.1,0.0,0,1,0.255,1
CUST00289,Loyal Customers,5,4,3,12,5,2,811.06,0.0,0,5,0.36,0
CUST00290,Discount-Sensitive,5,2,1,8,9,1,251.16,0.0,1,6,0.34,0
CUST00291,Dormant Customers,3,2,4,9,58,1,1708.29,0.0,1,4,0.2,1
CUST00292,Dormant Customers,4,2,2,8,43,1,657.91,1.0,1,6,0.08,0
CUST00293,Dormant Customers,1,1,1,3,230,0,0.0,0.0,0,3,0.0,1
CUST00294,Dormant Customers,2,2,4,8,102,1,1714.42,0.0,0,15,0.12,0
CUST00295,Discount-Sensitive,5,2,2,9,16,1,556.31,0.0,0,2,0.51,0
CUST00296,Dormant Customers,2,2,2,6,132,1,560.55,0.0,0,2,0.12,1
CUST00297,Dormant Customers,1,2,3,6,154,1,1130.29,0.0,0,13,0.16,1
CUST00298,Dormant Customers,1,1,1,3,201,0,0.0,0.0,0,6,0.0,1
CUST00299,Dormant Customers,1,1,1,3,343,0,0.0,0.0,0,0,0.0,1
CUST00300,Discount-Sensitive,5,2,2,9,5,1,459.9,0.0,0,5,0.42,0
CUST00301,Champions,5,4,4,13,9,2,1279.6,0.0,1,7,0.205,0
CUST00302,At-Risk Customers,1,4,4,9,148,2,1740.35,0.5,0,4,0.38,1
CUST00303,Loyal Customers,3,4,4,11,48,2,1965.56,0.0,0,6,0.175,0
CUST00304,At-Risk Customers,2,4,4,10,87,2,1687.98,0.0,0,4,0.205,1
CUST00305,Dormant Customers,1,2,2,5,166,1,531.59,0.0,0,6,0.19,1
CUST00306,Champions,5,5,5,15,19,3,2579.16,0.0,1,2,0.19,0
CUST00307,Discount-Sensitive,4,2,1,7,32,1,307.42,1.0,1,0,0.5,1
CUST00308,Loyal Customers,3,4,4,11,66,2,1535.15,0.0,0,7,0.26,0
CUST00309,Discount-Sensitive,5,2,3,10,8,1,1014.02,0.0,0,13,0.35,1
CUST00310,Dormant Customers,4,2,2,8,22,1,578.27,1.0,1,5,0.2,0
CUST00311,Dormant Customers,3,2,4,9,48,1,1336.82,0.0,0,4,0.1,1
CUST00312,Dormant Customers,3,2,2,7,64,1,486.27,0.0,0,9,0.2,1
